Unique ID;Player;Club;Best Pos;Age;Transfer Value;Preferred Foot;Appearances;Minutes;Goals;xG;Shots;ShT;Conv %;Goals per 90 minutes;xG/90;Drb/90
2000168055;Mariona Caldentey;Arsenal;AM (L);31;Not for Sale;Right-Footed;30 (1);2526;13;13.92;116;51;11%;0.5;0.5;1.8
2000168054;Caroline Graham Hansen;Barcelona;AM (R);32;€700K - €1M;Right-Footed;41 (3);3244;19;19.85;138;64;14%;0.5;0.6;4.4
2000101300;Sam Kerr;Chelsea;ST (C);33;€550K - €800K;Uses Both Feet;36;2692;14;9.92;89;43;16%;0.5;0.3;0.7
2000202454;Trinity Rodman;Washington Spirit;ST (C);25;€1.4M - €2.1M;Right-Footed;16;1366;10;7.39;59;31;17%;0.7;0.5;3.0
2000108621;Lauren Hemp;Man City;AM (L);26;€1.9M - €2.3M;Left-Footed;34 (1);2576;14;14.82;113;44;12%;0.5;0.5;3.0
2000168051;Aitana Bonmatí;Barcelona;M (R);29;€1.4M - €1.7M;Right-Footed;41 (3);3411;16;12.48;125;55;13%;0.4;0.3;0.2
2000109093;Lauren James;Chelsea;AM (R);25;€1.9M - €2.3M;Right-Footed;35;2448;11;13.72;123;61;9%;0.4;0.5;4.4
2000260584;Barbra Banda;Orlando Pride;ST (C);27;€1.1M - €1.7M;Right-Footed;14;1252;9;8.14;77;35;12%;0.6;0.6;0.9
2000109099;Alessia Russo;Arsenal;ST (C);28;€1.5M - €1.9M;Right-Footed;33;2900;17;13.46;124;67;14%;0.5;0.4;0.4
2000209497;Klara Bühl;FC Bayern München;AM (L);26;€325K - €375K;Right-Footed;36;3064;15;10.42;82;42;18%;0.4;0.3;4.3
2000108625;Bunny Shaw;Man City;ST (C);30;€1.9M - €2.3M;Right-Footed;29 (2);2285;17;9.25;97;46;18%;0.7;0.4;0.7
2000204778;Naomi Girma;Chelsea;D (C);26;€1.7M - €2.6M;Right-Footed;40;3478;1;3.53;21;4;5%;0.0;0.1;0.0
2000209598;Ewa Pajor;Barcelona;ST (C);30;€1.6M - €2.4M;Right-Footed;42 (2);3470;28;22.17;174;97;16%;0.7;0.6;1.0
2000203512;Sandy Baltimore;Chelsea;AM (L);27;€1.1M - €1.7M;Left-Footed;36;2855;10;8.98;76;38;13%;0.3;0.3;4.2
2000106239;Vivianne Miedema;Man City;ST (C);30;€1.3M - €1.6M;Right-Footed;15 (13);1497;12;10.77;85;46;14%;0.7;0.6;0.9
2000328902;Temwa Chawinga;KC Current;ST (C);28;€2.1M - €3M;Right-Footed;17;1514;9;6.16;58;29;16%;0.5;0.4;1.2
2000202434;Emily Sonnett;Barcelona;DM;33;€190K - €300K;Right-Footed;7 (3);669;0;0.09;3;1;0%;0.0;0.0;0.3
2000108612;Alex Greenwood;Man City;D (L);33;€325K - €475K;Left-Footed;36 (1);3068;0;0.39;3;1;0%;0.0;0.0;0.1
2000206396;Catarina Macario;Chelsea;AM (C);27;€1.5M - €2.3M;Right-Footed;34;2747;14;12.72;109;43;13%;0.5;0.4;2.5
2000168049;Alexia Putellas;Barcelona;M (L);33;€500K - €650K;Left-Footed;41 (1);3583;14;13.31;123;56;11%;0.4;0.3;0.0
2000201891;;;ST (C);29;€950K - €1.2M;Right-Footed;14;1044;9;5.02;44;28;20%;0.8;0.4;0.9
2000108617;;;DM;30;€1.5M - €1.8M;Right-Footed;35;2959;2;1.41;14;4;14%;0.1;0.0;0.2
2000102633;;;M (C);28;€1.2M - €1.4M;Right-Footed;33 (1);2445;2;4.44;45;8;4%;0.1;0.2;0.3
2000204776;;;GK;31;€550K - €800K;Right-Footed;9;810;0;0;0;0;0%;0.0;0.0;0.0
2000100352;;;D (C);33;€325K - €475K;Right-Footed;37;3273;1;2.06;21;4;5%;0.0;0.1;0.0
2000108619;;;DM;28;€750K - €950K;Right-Footed;30 (4);2500;3;3.65;29;10;10%;0.1;0.1;0.1
2000121838;;;M (C);30;€1.2M - €1.8M;Right-Footed;34 (1);2790;2;2.58;15;3;13%;0.1;0.1;0.2
2000152493;;;AM (C);32;Not for Sale;Left-Footed;18;1359;5;5.82;45;19;11%;0.3;0.4;2.8
2000235913;;;D (C);26;€1.3M - €1.5M;Right-Footed;46;3833;2;2.82;24;6;8%;0.0;0.1;0.1
2000168050;;;DM;29;€1.2M - €1.8M;Right-Footed;42 (1);2963;3;5.03;54;18;6%;0.1;0.2;0.3
2000203048;;;M (C);29;€1.1M - €1.6M;Right-Footed;36;3300;3;3.48;34;10;9%;0.1;0.1;0.2
2000204840;;;D (R);28;€950K - €1.4M;Right-Footed;35;3032;0;1.11;10;2;0%;0.0;0.0;1.3
2000108618;;;AM (R);29;€1M - €1.5M;Right-Footed;22 (9);1734;11;7.4;67;30;16%;0.6;0.4;3.8
2000104875;;;D (C);30;€1M - €1.2M;Right-Footed;17;1437;0;0.59;6;1;0%;0.0;0.0;0.0
;;;;;;;;;;;;;;;;
2000104875;Leah Williamson;Arsenal;D (C);30;€1M - €1.2M;Right-Footed;17;1437;0;0.59;6;1;0%;0.0;0.0;0.0
